"name","parent","size","download_link"
"Africa","root","6.9 GB","https://download.geofabrik.de/africa-latest.osm.pbf"
"Algeria","Africa","278 MB","https://download.geofabrik.de/africa/algeria-latest.osm.pbf"
"Angola","Africa","74 MB","https://download.geofabrik.de/africa/angola-latest.osm.pbf"
"Benin","Africa","44.6 MB","https://download.geofabrik.de/africa/benin-latest.osm.pbf"
"Botswana","Africa","83 MB","https://download.geofabrik.de/africa/botswana-latest.osm.pbf"
"Burkina Faso","Africa","76 MB","https://download.geofabrik.de/africa/burkina-faso-latest.osm.pbf"
"Burundi","Africa","43.8 MB","https://download.geofabrik.de/africa/burundi-latest.osm.pbf"
"Cameroon","Africa","205 MB","https://download.geofabrik.de/africa/cameroon-latest.osm.pbf"
"Canary Islands","Africa","54 MB","https://download.geofabrik.de/africa/canary-islands-latest.osm.pbf"
"Cape Verde","Africa","11.0 MB","https://download.geofabrik.de/africa/cape-verde-latest.osm.pbf"
"Central African Republic","Africa","94 MB","https://download.geofabrik.de/africa/central-african-republic-latest.osm.pbf"
"Chad","Africa","104 MB","https://download.geofabrik.de/africa/chad-latest.osm.pbf"
"Comores","Africa","3.7 MB","https://download.geofabrik.de/africa/comores-latest.osm.pbf"
"Congo (Republic/Brazzaville)","Africa","28.3 MB","https://download.geofabrik.de/africa/congo-brazzaville-latest.osm.pbf"
"Congo (Democratic Republic/Kinshasa)","Africa","388 MB","https://download.geofabrik.de/africa/congo-democratic-republic-latest.osm.pbf"
"Djibouti","Africa","6.6 MB","https://download.geofabrik.de/africa/djibouti-latest.osm.pbf"
"Egypt","Africa","165 MB","https://download.geofabrik.de/africa/egypt-latest.osm.pbf"
"Equatorial Guinea","Africa","6.2 MB","https://download.geofabrik.de/africa/equatorial-guinea-latest.osm.pbf"
"Eritrea","Africa","27.2 MB","https://download.geofabrik.de/africa/eritrea-latest.osm.pbf"
"Ethiopia","Africa","101 MB","https://download.geofabrik.de/africa/ethiopia-latest.osm.pbf"
"Gabon","Africa","22.4 MB","https://download.geofabrik.de/africa/gabon-latest.osm.pbf"
"Ghana","Africa","101 MB","https://download.geofabrik.de/africa/ghana-latest.osm.pbf"
"Guinea","Africa","107 MB","https://download.geofabrik.de/africa/guinea-latest.osm.pbf"
"Guinea-Bissau","Africa","10.0 MB","https://download.geofabrik.de/africa/guinea-bissau-latest.osm.pbf"
"Ivory Coast","Africa","74 MB","https://download.geofabrik.de/africa/ivory-coast-latest.osm.pbf"
"Kenya","Africa","311 MB","https://download.geofabrik.de/africa/kenya-latest.osm.pbf"
"Lesotho","Africa","117 MB","https://download.geofabrik.de/africa/lesotho-latest.osm.pbf"
"Liberia","Africa","35.1 MB","https://download.geofabrik.de/africa/liberia-latest.osm.pbf"
"Libya","Africa","72 MB","https://download.geofabrik.de/africa/libya-latest.osm.pbf"
"Madagascar","Africa","360 MB","https://download.geofabrik.de/africa/madagascar-latest.osm.pbf"
"Malawi","Africa","136 MB","https://download.geofabrik.de/africa/malawi-latest.osm.pbf"
"Mali","Africa","161 MB","https://download.geofabrik.de/africa/mali-latest.osm.pbf"
"Mauritania","Africa","28.3 MB","https://download.geofabrik.de/africa/mauritania-latest.osm.pbf"
"Mauritius","Africa","8.8 MB","https://download.geofabrik.de/africa/mauritius-latest.osm.pbf"
"Morocco","Africa","228 MB","https://download.geofabrik.de/africa/morocco-latest.osm.pbf"
"Mozambique","Africa","213 MB","https://download.geofabrik.de/africa/mozambique-latest.osm.pbf"
"Namibia","Africa","49.9 MB","https://download.geofabrik.de/africa/namibia-latest.osm.pbf"
"Niger","Africa","68 MB","https://download.geofabrik.de/africa/niger-latest.osm.pbf"
"Nigeria","Africa","630 MB","https://download.geofabrik.de/africa/nigeria-latest.osm.pbf"
"Rwanda","Africa","56 MB","https://download.geofabrik.de/africa/rwanda-latest.osm.pbf"
"Saint Helena, Ascension, and Tristan da Cunha","Africa","717 KB","https://download.geofabrik.de/africa/saint-helena-ascension-and-tristan-da-cunha-latest.osm.pbf"
"Sao Tome and Principe","Africa","1.2 MB","https://download.geofabrik.de/africa/sao-tome-and-principe-latest.osm.pbf"
"Senegal and Gambia","Africa","98 MB","https://download.geofabrik.de/africa/senegal-and-gambia-latest.osm.pbf"
"Seychelles","Africa","2.6 MB","https://download.geofabrik.de/africa/seychelles-latest.osm.pbf"
"Sierra Leone","Africa","38.7 MB","https://download.geofabrik.de/africa/sierra-leone-latest.osm.pbf"
